silo_name,gvar,treat,diff_times,gt,RI,start_time,end_time,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq
86,1991,0,1991;1990,1991;1991,0,1989-01-01,2000-01-01,-0.132751937984496,0.0102786329646784,-0.12604909446583,0.0103859811485919,asian;black;male,yyyy,1 year
86,1991,0,1992;1990,1991;1992,0,1989-01-01,2000-01-01,-0.150641025641026,0.013365154793363,-0.124293785310734,0.0148369698925749,asian;black;male,yyyy,1 year
86,1991,0,1993;1990,1991;1993,0,1989-01-01,2000-01-01,0.0122549019607842,0.0124996628252897,-0.00161375197333823,0.0129526520821145,asian;black;male,yyyy,1 year
86,1991,0,1994;1990,1991;1994,0,1989-01-01,2000-01-01,0.0122549019607842,0.0124996628252897,-0.0267465653317744,0.0128305027939898,asian;black;male,yyyy,1 year
86,1991,0,1995;1990,1991;1995,0,1989-01-01,2000-01-01,0.0166666666666666,0.0114065393518519,-0.0167197360707184,0.0122198923509446,asian;black;male,yyyy,1 year
86,1991,0,1996;1990,1991;1996,0,1989-01-01,2000-01-01,-0.0661764705882354,0.00984608313120519,-0.0766121445301603,0.0100485385915979,asian;black;male,yyyy,1 year
86,1991,0,1997;1990,1991;1997,0,1989-01-01,2000-01-01,-0.125,0.0090707998294347,-0.118107525266278,0.00955313746279266,asian;black;male,yyyy,1 year
86,1991,0,1998;1990,1991;1998,0,1989-01-01,2000-01-01,-0.136299435028249,0.00887264005774194,-0.159053368393763,0.00883596456806203,asian;black;male,yyyy,1 year
86,1991,0,1999;1990,1991;1999,0,1989-01-01,2000-01-01,-0.125,0.00853916771885521,-0.137736352469745,0.00840211368195367,asian;black;male,yyyy,1 year
86,1991,0,2000;1990,1991;2000,0,1989-01-01,2000-01-01,-0.197463768115942,0.00936383033360579,-0.204124926340601,0.0098223676217467,asian;black;male,yyyy,1 year
86,1993,0,1993;1992,1993;1993,0,1989-01-01,2000-01-01,0.16289592760181,0.015520488914949,0.116103640537881,0.0163590346017264,asian;black;male,yyyy,1 year
86,1993,0,1994;1992,1993;1994,0,1989-01-01,2000-01-01,0.16289592760181,0.015520488914949,0.129198080877313,0.017336616443255,asian;black;male,yyyy,1 year
86,1993,0,1995;1992,1993;1995,0,1989-01-01,2000-01-01,0.167307692307692,0.0144273654415111,0.139946174548251,0.0147272889413503,asian;black;male,yyyy,1 year
86,1993,0,1996;1992,1993;1996,0,1989-01-01,2000-01-01,0.0844645550527903,0.0128669092208645,0.0255504970733067,0.0130464045422963,asian;black;male,yyyy,1 year
86,1993,0,1997;1992,1993;1997,0,1989-01-01,2000-01-01,0.0256410256410257,0.012091625919094,0.0493723018905374,0.0120255906691629,asian;black;male,yyyy,1 year
86,1993,0,1998;1992,1993;1998,0,1989-01-01,2000-01-01,0.014341590612777,0.0118934661474012,-0.0425116051795749,0.0121585742617438,asian;black;male,yyyy,1 year
86,1993,0,1999;1992,1993;1999,0,1989-01-01,2000-01-01,0.0256410256410255,0.0115599938085145,-0.0305306060834778,0.0121088840905828,asian;black;male,yyyy,1 year
86,1993,0,2000;1992,1993;2000,0,1989-01-01,2000-01-01,-0.0468227424749163,0.0123846564232651,-0.0770375457875457,0.0127178416416456,asian;black;male,yyyy,1 year
86,1996,0,1996;1995,1996;1996,0,1989-01-01,2000-01-01,-0.082843137254902,0.0109082937793533,-0.0888215203204821,0.0107633280277712,asian;black;male,yyyy,1 year
86,1996,0,1997;1995,1996;1997,0,1989-01-01,2000-01-01,-0.141666666666667,0.0101330104775828,-0.140072065238005,0.0100736559106944,asian;black;male,yyyy,1 year
86,1996,0,1998;1995,1996;1998,0,1989-01-01,2000-01-01,-0.152966101694915,0.0099348507058901,-0.146316862653286,0.00998820162567082,asian;black;male,yyyy,1 year
86,1996,0,1999;1995,1996;1999,0,1989-01-01,2000-01-01,-0.141666666666667,0.00960137836700336,-0.105786180578424,0.00933046883131184,asian;black;male,yyyy,1 year
86,1996,0,2000;1995,1996;2000,0,1989-01-01,2000-01-01,-0.214130434782609,0.0104260409817539,-0.217980022197558,0.0101350412523259,asian;black;male,yyyy,1 year
86,1997,0,1997;1996,1997;1997,0,1989-01-01,2000-01-01,-0.0588235294117647,0.00857255425693619,-0.0501298456541201,0.00857250457778485,asian;black;male,yyyy,1 year
86,1997,0,1998;1996,1997;1998,0,1989-01-01,2000-01-01,-0.0701229644400134,0.00837439448524343,-0.057123923127899,0.00810472848430123,asian;black;male,yyyy,1 year
86,1997,0,1999;1996,1997;1999,0,1989-01-01,2000-01-01,-0.0588235294117649,0.00804092214635671,-0.0343966231198741,0.0074503500202643,asian;black;male,yyyy,1 year
86,1997,0,2000;1996,1997;2000,0,1989-01-01,2000-01-01,-0.131287297527707,0.00886558476110727,-0.126275781196109,0.00872361731099894,asian;black;male,yyyy,1 year
86,1998,0,1998;1997,1998;1998,0,1989-01-01,2000-01-01,-0.0112994350282486,0.00759911118347294,-0.0300133444850624,0.00792827647736542,asian;black;male,yyyy,1 year
86,1998,0,1999;1997,1998;1999,0,1989-01-01,2000-01-01,-1.00613961606655e-16,0.00726563884458621,0.00371725952190312,0.0075508250240511,asian;black;male,yyyy,1 year
86,1998,0,2000;1997,1998;2000,0,1989-01-01,2000-01-01,-0.072463768115942,0.00809030145933678,-0.0639889123728282,0.00781627805068034,asian;black;male,yyyy,1 year
