silo_name,treatment_time,time,mean_outcome,mean_outcome_residualized,covariates,date_format,freq
71,1991,1989,0.306122448979592,0.199879951980792,asian;black;male,yyyy,1 year
71,1991,1990,0.270833333333333,0.150203962703963,asian;black;male,yyyy,1 year
71,1991,1991,0.4,0.194910941475827,asian;black;male,yyyy,1 year
71,1991,1992,0.34,0.187663551401869,asian;black;male,yyyy,1 year
71,1991,1993,NA,NA,asian;black;male,yyyy,1 year
71,1991,1994,0.297872340425532,0.119542491698438,asian;black;male,yyyy,1 year
71,1991,1995,0.444444444444444,0.253812636165577,asian;black;male,yyyy,1 year
71,1991,1996,0.406779661016949,0.24277700705712,asian;black;male,yyyy,1 year
71,1991,1997,0.333333333333333,0.199404761904762,asian;black;male,yyyy,1 year
71,1991,1998,0.4,0.21091492776886,asian;black;male,yyyy,1 year
71,1991,1999,0.195121951219512,0.0712552675264972,asian;black;male,yyyy,1 year
71,1991,2000,0.333333333333333,0.101587301587302,asian;black;male,yyyy,1 year
